cbt_no,chatbot,user,translated
CBT 1-1,안녕! 마음의 방에 온걸 환영해.,안녕 ,Hi.
,사람은 여러 가지의 감정을 느껴. 좋은 기분도 싫은 기분도 느끼게 되는데 그것은 자연스러운 거야. 만약 부정적인 기분이 들더라도 이를 부정해서는 안되.,자신의 감정을 받아드리는게 중요하구나,It's important to accept your feelings.
,"울적한 기분이 들었을 때 그 후에 어떻게 행동할까, 어떻게 생각할까 하는 것은 별개의 문제야. 예를 들어, ‘분노’, ‘화’는 나쁜 감정이 아니야. 오히려 화가 나서 물건을 집어 던진 행동이 잘못된거지. 마찬가지로 ‘우울’, ‘슬픔’도 나쁜 감정이 아니야. 슬퍼서 할 일을 미루고 아무것도 하지 않는 것은 문제가 될 수 있지.",그걸 알면서도 가끔은 감정이 행동으로 나도 모르게 이어지는거 같아,"Even though I know that, sometimes I think my emotions lead to actions without realizing it."
,"최근에 있었던 기분 좋았던 일이나 기분 나빴던 상황을 떠올려 볼래? 예를 들어, 학교나 직장에서는 어땠어? 친구들과 있었을 때는? 그 상황에서 나는 어떤 감정을 느끼고 있을까?",논문 쓰는걸 드디어 끝냈어 기분 좋아,I'm finally done writing my thesis. I feel good.
,방금 연습해 본 것처럼 앞으로 일상에서 어떤 생각을 하고 어떤 감정이 들고 어떤 행동을 하는지 함께 찾아나갈거야.,좋아 앞으로 잘 부탁해,Good. Please take good care of me.
,앞으로 차근차근 하나씩 같이 해보자!,공백,a blank space
CBT 1-2 ,마음의 방에 온 것을 환영해! 오늘도 생각-기분 연관성을 탐색하는 시간을 가지려고 해.,공백,a blank space
,"우리가 부정적인 생각을 할수록 기분은 더욱 나빠진다고 했잖아, 오늘은 반대 경험을 느껴보려고 해.","오, 그래","Oh, okay."
,"분명 우리 일상에도 즐겁고 행복한 일들이 있는데 이것들은 간과되고 있을 가능성이 커. 지난 24시간 동안 가장 행복했던 시간을 기록해보자. 예를 들어, 친구가 우스꽝스러운 말을 해서 너무 웃겨서 오랜만에 크게 웃었을 수도 있고, 미루던 일을 모두 끝마쳤을 수도 있고, 산책하던 길에 햇빛이 너무 이쁘게 비쳤을 수도 있겠지. 나의 가장 행복한 순간은 어떤 모습이야?","베이스 연습하기 좋은 유튜브 채널을 찾아서 너무 좋아 ! 그리고 교회분들이 많이 생일 축하해주셨는데, 행복하더라구","I am so happy to find a YouTube channel that is good for practicing bass! And many church members wished me a happy birthday, and I was happy."
,이러한 사건들을 회상하고 기록하면서 행복한 시간을 재경험 하면 좋겠어. 그리고 여유가 된다면 앞으로 며칠 동안 나의 행복한 순간이 다시 일어나도록 계획해도 도움이 될 거야. 산책을 더 자주 나가거나 친구와 더 자주 연락을 하는 것처럼.,그렇게 해볼게,I'll try that.
,오늘도 고생 많았어! 다음에 다시 만나자~,공백,a blank space
