id,context,turn_cnt,speaker_idx,speaker_sex,speaker_age,intent,text
84743,주거와 생활,16,2번,남성,20대,(단언) 주장하기,맞아 월세 값 아끼려고 전세 갔는데 참
67056,주거와 생활,15,2번,여성,20대,(단언) 주장하기,하긴 솔직히 부르는 게 값이긴 해 키키
76427,주거와 생활,37,2번,남성,20대,(단언) 주장하기,키키 전세 하면 매달 나가는 돈은 없잖아요
2589,주거와 생활,5,1번,여성,30대,(단언) 진술하기,신고가찍음 키키
163421,주거와 생활,5,1번,남성,30대,(단언) 주장하기,꽤나 비싸진 건가 예전에 비해?
41319,주거와 생활,9,2번,남성,20대,(단언) 주장하기,맞아 사기도 힘든 것 같더만
111983,주거와 생활,7,1번,남성,30대,(단언) 주장하기,마트 큰게 2개나 좋네요
79146,주거와 생활,7,1번,남성,20대,(단언) 주장하기,헐...진짜 예의없네 잘 시간에
90415,주거와 생활,1,1번,여성,40대,(단언) 진술하기,집근처에 마트 언제 생긴데?
68076,주거와 생활,16,1번,여성,20대,(단언) 주장하기,빨리 전세집 구하고 싶은데 목돈이 없다
68736,주거와 생활,19,1번,여성,20대,(단언) 주장하기,그런 거 같아 나도 관심은 있지만 실력은 없어서
43411,주거와 생활,9,2번,남성,20대,(언약) 약속하기(제3자와)/(개인적 수준),그럼 한번 이따가 전화해보자!
79143,주거와 생활,4,2번,남성,20대,(지시) 질문하기,얼마나 올려달라고 했는데?
90352,주거와 생활,2,2번,여성,30대,(단언) 주장하기,와 축하드려요
75942,주거와 생활,4,1번,여성,30대,(단언) 주장하기,그게 무슨 상관이고 키키 인테리어 바꾸면 확실히 기분 전환 된다!
41979,주거와 생활,24,2번,여성,20대,(단언) 주장하기,근데 난 또 그것마저 귀찮아서 ㅠ
111751,주거와 생활,6,2번,남성,20대,(단언) 주장하기,그 정돈 아니구 그냥 평균이지
165453,주거와 생활,6,2번,남성,30대,(단언) 주장하기,혁신이 제일 마이 오른듯
61914,주거와 생활,19,2번,남성,20대,(단언) 진술하기,아니면 악기로 채우는 거지!
126316,주거와 생활,6,3번,여성,40대,(단언) 진술하기,맞어 집이 작지 않았는데 살다 보니 걸을 공간도 없어졌어
43408,주거와 생활,7,1번,남성,20대,(단언) 진술하기,응 맞아. 주변에 카페도 많아서 자주 가.
76342,주거와 생활,21,3번,여성,20대,(단언) 주장하기,혹시 모르니까 전세도 알아봐 방
58434,주거와 생활,14,1번,여성,20대,(단언) 주장하기,그러게 엘지에서 나온 건데 집에 두니까 딱이야!
141320,주거와 생활,1,1번,남성,20대,(단언) 주장하기,요즘 월세 미쳤어 ㅠㅠ
29433,주거와 생활,7,1번,여성,20대,(지시) 질문하기,너네 집에 몇 평이지?
22930,주거와 생활,6,2번,남성,20대,(단언) 주장하기,계속 오르기만 해서 걱정 돼... 한 번쯤 떨어지면 좋겠어
85298,주거와 생활,11,2번,여성,30대,(지시) 충고/제안하기,공공임대도 월세가 무시못해
26893,주거와 생활,10,1번,여성,40대,(단언) 주장하기,세 살던 사람들 설 곳이 없네
72943,주거와 생활,3,3번,여성,20대,(단언) 주장하기,나도 아파트가 좋아 키키 아파트가 편해
126126,주거와 생활,8,2번,남성,30대,(단언) 주장하기,맞아요. 오히려 일에 집중을 하니깐 더 일이 생겨요.
85293,주거와 생활,3,2번,여성,30대,(단언) 주장하기,근데 예전 살던 집에서 층간소음때문에 넘 힘들었었어
76884,주거와 생활,7,1번,여성,40대,(단언) 주장하기,니 정말 잘산듯
67876,주거와 생활,22,1번,여성,20대,(단언) 진술하기,널고 나면 또 개야 하고 키키
166293,주거와 생활,12,2번,여성,20대,(단언) 주장하기,응 생각보다 냄새 하나도 안 나
109894,주거와 생활,8,2번,남성,20대,(지시) 질문하기,부동산에서 하는거 아니야?
130426,주거와 생활,5,1번,여성,20대,(단언) 주장하기,맞아 그건 좋은 거야 걱정마
126493,주거와 생활,5,1번,여성,20대,(단언) 주장하기,맞아 실생활에 계속 느껴져
69577,주거와 생활,2,2번,남성,20대,(지시) 질문하기,어제부터? 경비실에 얘기해봤어?
111591,주거와 생활,6,2번,여성,30대,(단언) 주장하기,어차피 지하철 타면 괜찮지 않나.
126331,주거와 생활,3,3번,남성,30대,(단언) 진술하기,나는 집에 쟁여놔
136609,주거와 생활,6,2번,남성,20대,(단언) 주장하기,대출이자를 내면 낼수록 내 돈 같은 느낌이 들거같아
19578,주거와 생활,19,1번,여성,20대,(표현) 부정감정 표현하기,그니깐  돈때문에 결혼하기 겁나지...
43445,주거와 생활,9,1번,남성,20대,(단언) 주장하기,배달도 1인 메뉴들이 많이 증가 하면 좋겠다 하하
83020,주거와 생활,22,2번,남성,20대,(단언) 주장하기,사업 아이템은 지금부터 고민해봐야지...
143319,주거와 생활,5,1번,남성,20대,(지시) 질문하기,그러니까. 이번 플라스틱은 다음 주에 한꺼번에 버릴까?
131254,주거와 생활,18,3번,남성,20대,(단언) 주장하기,요즘 나도 인테리어 많이 봐서 관심 가더라 키키
69726,주거와 생활,10,1번,여성,20대,(단언) 주장하기,난 그래도 아파트가 좋아! 생활도 편하고...
126147,주거와 생활,7,2번,여성,30대,(지시) 질문하기,사람 많이 와?
142586,주거와 생활,11,3번,여성,20대,(단언) 주장하기,언제 치우고 언제 차려
109927,주거와 생활,9,3번,남성,30대,(단언) 주장하기,묶어서 사야 싼데 지금 사면 너무 비쌀 것 같아
93733,주거와 생활,10,2번,여성,20대,(언약) 약속하기(제3자와)/(개인적 수준),그래 방법을 찾아보자.
105976,주거와 생활,7,1번,남성,20대,(단언) 진술하기,거기도 그런데 한참동안은 가야 하잖아?
69711,주거와 생활,1,1번,여성,30대,(단언) 진술하기,어제 급매로 나온집 있대서 보고왔는데 흠...
137610,주거와 생활,2,2번,여성,20대,(단언) 주장하기,웅 전자레인지 자주 사용하지~
93004,주거와 생활,1,1번,여성,20대,(단언) 주장하기,우리 집 앞 바다에서 낚시하는 거 좋아해
2568,주거와 생활,19,1번,여성,20대,(단언) 진술하기,"에어컨 빵빵해, 하하"
99723,주거와 생활,20,2번,남성,20대,(지시) 충고/제안하기,머리가 지끈거릴 땐 집에서 열심히 자야해
163501,주거와 생활,19,1번,남성,20대,(단언) 진술하기,나 지금 10키로 쪘거든?
143317,주거와 생활,3,1번,남성,20대,(지시) 질문하기,"그렇구나. 이제 슬슬 겨울일인데, 한 번 대청소 해야 하지 않아?"
106088,주거와 생활,8,2번,여성,20대,(단언) 주장하기,투자보다는 정말 사는 공간의 개념으로 사는 곳이지
100727,주거와 생활,6,3번,남성,20대,(단언) 진술하기,부동산에 붙어있는 거 못 지나침
45850,주거와 생활,1,1번,여성,20대,(단언) 주장하기,나 오늘도 자취하고 싶어서 죽는 줄 알았어. 월세는 낼 돈은 없지만
79191,주거와 생활,1,1번,여성,20대,(지시) 질문하기,너는 직장이 시골이면 가기 힘들 것 같니?
86928,주거와 생활,3,1번,여성,20대,(단언) 진술하기,응. 게다가 보증금이 높으면 월세가 싼데 보증금이 낮으면 월세가 비싸더라고
135417,주거와 생활,3,3번,남성,20대,(단언) 주장하기,아 아니야 아니야 나도 반대... 들어가지마
73203,주거와 생활,4,2번,여성,30대,(지시) 충고/제안하기,키키 깔끔해 키키 보러 오세요
45905,주거와 생활,11,1번,남성,20대,(지시) 충고/제안하기,얼마나 필요한데 말만 해.
48096,주거와 생활,11,1번,여성,20대,(단언) 주장하기,맞아 여럿이 있으면 재료 사도 안 남는데...
73558,주거와 생활,6,2번,여성,30대,(단언) 진술하기,맞아. 내 아파트라고 하기에는 은행이 대부분을 소유하고 있긴해.
167213,주거와 생활,5,1번,남성,30대,(단언) 주장하기,같이 한당
131834,주거와 생활,13,2번,여성,20대,(단언) 주장하기,나도 체험 좋아 하는데 키키
126166,주거와 생활,1,1번,남성,50대,(지시) 질문하기,우리집 쇼파가 망가졌는데 리폼 할까 살까?
135477,주거와 생활,17,1번,여성,20대,(단언) 주장하기,응 근데 그건 디자인도 이뻐
100847,주거와 생활,2,2번,남성,20대,(단언) 반박하기,우리집에 놀러와 귤 많아
103511,주거와 생활,9,1번,남성,40대,(단언) 주장하기,문고리 잠그고 대응해야겠어
141500,주거와 생활,10,1번,여성,30대,(단언) 주장하기,전세금을 갖고 튀다니...
76870,주거와 생활,10,1번,여성,30대,(단언) 진술하기,그니까 키키 내가 명절에 안자잖아 ㅋ
67436,주거와 생활,5,1번,여성,30대,(단언) 주장하기,꾸미고 싶다가도 부질없이 느껴졍
133985,주거와 생활,17,2번,남성,20대,(단언) 진술하기,진짜 뭔 일일까 ㅠㅠ
96301,주거와 생활,6,3번,남성,20대,(단언) 진술하기,나는 본가는 서울인데 지금은 나와서 학교 근처에 살아~
73383,주거와 생활,25,2번,여성,20대,(단언) 주장하기,아... ㅎ 그건 또 힘들지 ㅠㅠ 어쩌냐
129725,주거와 생활,15,3번,여성,20대,(단언) 주장하기,월세에 쪼달려 살아도 그런 집이면 가능
136017,주거와 생활,17,1번,여성,30대,(단언) 주장하기,맥세권으로 가야한다
133545,주거와 생활,18,2번,남성,20대,(단언) 주장하기,키키 시골은 패션을 포기해야 편한 곳 키키
68216,주거와 생활,11,2번,남성,20대,(단언) 주장하기,나도 월세 받아보고싶다 키키
85285,주거와 생활,2,2번,여성,30대,(지시) 질문하기,왜? 무슨 일 있어?
93812,주거와 생활,7,1번,여성,20대,(단언) 주장하기,주민 전용 헬스장이 있었으면 되게 편할텐데.
85283,주거와 생활,5,2번,남성,30대,(지시) 질문하기,에? 진짜? 다른 집은 없어?
126308,주거와 생활,7,1번,여성,30대,(지시) 명령/요구하기,오 막내 아이디어 좋아. 또 딜 넣어봐
74922,주거와 생활,11,1번,여성,20대,(단언) 주장하기,키키 맞아맞아 30대 돼서도 독립 못 하는 거 아닌가 싶네
166333,주거와 생활,26,1번,여성,30대,(단언) 주장하기,그럼 나 혼자 액자 사서 인테리어 해봐야겠다 ㅠㅠ
64848,주거와 생활,11,1번,여성,50대,(단언) 주장하기,그런 곳이면 괜찮은 게 아니라 너무 좋지.
60502,주거와 생활,7,1번,여성,30대,(단언) 주장하기,오~ 바로 근처에 공원 있구나~ 좋지좋지~
93789,주거와 생활,9,2번,여성,20대,(단언) 주장하기,나는 스투키 키우고 있는데 관리할 필요 없고 좋아!
105922,주거와 생활,4,2번,남성,20대,(단언) 주장하기,키키 맞아 시작하기까지 밍기적거리는데 막상 하면 보람 있잖아 자주 해주면 더 깨끗하고 좋겠네
135457,주거와 생활,15,2번,여성,20대,(단언) 주장하기,직접 가서 쇼핑하는 맛이 또 있지!
126297,주거와 생활,2,2번,여성,20대,(단언) 주장하기,역세권이 문제가 아니고 그냥 교통 자체가 불편해
45912,주거와 생활,3,1번,남성,20대,(단언) 주장하기,그래도 여름동안 너무 잘 썻네.
68316,주거와 생활,1,1번,남성,20대,(단언) 주장하기,우리집 구조를 바꾸려는데 고민이야!
48994,주거와 생활,1,1번,남성,20대,(단언) 진술하기,이번에 집 인테리어 좀 하려고 소품 보고 있는데 비싸네 키키
73525,주거와 생활,5,1번,여성,30대,(단언) 주장하기,그래야지 하는데 잘 안되네 귀찮기도하고...
26892,주거와 생활,12,1번,여성,40대,(단언) 진술하기,주상복합이 제일 눈에 잘띔
113372,주거와 생활,21,2번,남성,20대,(단언) 주장하기,흐흠... 그건 이제 너의 행동에 달려있지?
69603,주거와 생활,10,2번,남성,20대,(단언) 진술하기,아니. 밥솥으로도 잘 만들잖아.
76002,주거와 생활,8,1번,여성,20대,(단언) 주장하기,그럼 아무 조치도 취할 수 없는 건가...
68156,주거와 생활,31,2번,여성,20대,(단언) 주장하기,나 진짜 이런거 하나도 몰라
169207,주거와 생활,8,2번,남성,20대,(단언) 주장하기,어디에 구멍 난 거 아니야?
111350,주거와 생활,7,1번,여성,20대,(단언) 주장하기,그니깐 좋아 보여 키키
42319,주거와 생활,20,2번,여성,20대,(단언) 주장하기,아니 그냥 양동이 같은 거 대 놔 키키
99463,주거와 생활,4,2번,남성,30대,(단언) 주장하기,ㅠㅠ 빌라가 아파트보단 조금 불편해도 그래도 괜찮던데 난 키키
32887,주거와 생활,9,1번,남성,20대,(단언) 주장하기,흠 아마 올해 안이면 좋겠는데 하하
69356,주거와 생활,2,2번,남성,20대,(단언) 주장하기,서울에서 싼 방 구하는 게 쉽지 않지...
61954,주거와 생활,2,2번,여성,30대,(지시) 질문하기,왜?갑자기?
140260,주거와 생활,4,1번,여성,30대,(단언) 주장하기,제발 청년 임대 아파트 알아봐 키키
90363,주거와 생활,4,1번,남성,10대,(단언) 주장하기,"응, 집값 많이 올랐으면 좋겠어."
90079,주거와 생활,15,1번,여성,30대,(단언) 주장하기,응응
95204,주거와 생활,10,1번,여성,30대,(단언) 진술하기,"마음같아서는 나몰라라 하고싶은데, 아빠가 연세도 있고 땅바닥에 앉으시기엔 무릎이 안 좋으시니까"
35021,주거와 생활,6,2번,남성,30대,(단언) 주장하기,되게 오래된 마트인데 못 봤구나
32896,주거와 생활,11,1번,여성,30대,(단언) 진술하기,키키 맞아 호계시장 지나면 금방이더라
103461,주거와 생활,9,1번,여성,20대,(단언) 주장하기,근데 한편으로는 연말이라는게 슬퍼
75082,주거와 생활,8,1번,남성,20대,(지시) 질문하기,올 키키 가구도 샀나?
134205,주거와 생활,24,2번,여성,20대,(단언) 주장하기,너는 요리를 잘하는구나
135477,주거와 생활,13,3번,남성,20대,(단언) 주장하기,"아, 꾸미는 용도면은 그냥 사면 되지~"
126493,주거와 생활,7,1번,여성,20대,(단언) 진술하기,맞아 물이 쫄쫄쫄 나와
163081,주거와 생활,19,2번,남성,20대,(단언) 주장하기,그것도 나쁘지 않다 키키
2539,주거와 생활,9,1번,남성,20대,(단언) 진술하기,만난건가
100607,주거와 생활,16,3번,남성,20대,(단언) 주장하기,나도 그냥 만족하고 있어 키키
110970,주거와 생활,9,1번,여성,20대,(지시) 질문하기,그러면 올 화이트로 된 가구들?
79229,주거와 생활,10,2번,여성,30대,(지시) 질문하기,관리실에는 말해봤어?
63791,주거와 생활,16,2번,여성,30대,(단언) 주장하기,오 키키 맞아 키키 지금 집은 애매 애매
111997,주거와 생활,3,1번,남성,30대,(단언) 진술하기,나도 잘 몰라.
113512,주거와 생활,17,1번,남성,20대,(단언) 주장하기,이따가 점심 먹고 가볼게요!
75502,주거와 생활,19,2번,여성,30대,(단언) 주장하기,그런긴 하지...
96101,주거와 생활,16,3번,여성,20대,(단언) 주장하기,맞아 ㅜㅜ
133485,주거와 생활,11,1번,여성,20대,(단언) 주장하기,그러게 키키
60880,주거와 생활,8,2번,여성,60대 이상,(단언) 주장하기,왜 그게 낫지 니는 많이 안버리니까
84603,주거와 생활,13,1번,여성,30대,(단언) 주장하기,키키 좋지 좋지 언제든 놀러오쇼
85248,주거와 생활,15,3번,남성,10대,(언약) 약속하기(제3자와)/(개인적 수준),나도 그때 되면 같이 도와줄게
83720,주거와 생활,1,1번,여성,20대,(지시) 질문하기,인테리어 하는 것에 관심이 있나요? 키키
82880,주거와 생활,3,1번,남성,20대,(단언) 진술하기,뭐 사람들이 국민 임대주택 또는 행복주택이라고 부르기도 하는 아파트야
